filename,composer,genre,opus,key,movement,date
quartet04-3.mid,Beethoven,Minuet,Op.18/4,C minor,3,1798-1800
quartet05-2.mid,Beethoven,Minuet,Op.18/5,A major,2,1798-1800
quartet09-3.mid,Beethoven,Minuet,Op.59/3,C major,3,1806
quartet01-3.mid,Beethoven,Scherzo,Op.18/1,F major,3,1798-1800
quartet02-3.mid,Beethoven,Scherzo,Op.18/2,G major,3,1798-1800
quartet06-3.mid,Beethoven,Scherzo,Op.18/6,Bb major,3,1798-1800
quartet12-3.mid,Beethoven,Scherzo,Op.127,Eb major,3,1822-1825
quartet01-4.mid,Beethoven,Allegro,Op.18/1,F major,4,1798-1800
quartet02-1.mid,Beethoven,Allegro,Op.18/2,G major,1,1798-1800
quartet03-3.mid,Beethoven,Allegro,Op.18/3,D major,3,1798-1800
quartet04-4.mid,Beethoven,Allegro,Op.18/4,C minor,4,1798-1800
quartet05-1.mid,Beethoven,Allegro,Op.18/5,A major,1,1798-1800
quartet07-1.mid,Beethoven,Allegro,Op.59/1,F major,1,1806
quartet08-1.mid,Beethoven,Allegro,Op.59/2,E minor,1,1806
quartet11-1.mid,Beethoven,Allegro,Op.95,F minor,1,1810-1811
quartet13-6.mid,Beethoven,Allegro,Op.130,Bb major,6,1825
quartet14-7.mid,Beethoven,Allegro,Op.131,C# minor,7,1825-1826
quartet01-2.mid,Beethoven,Adagio,Op.18/1,F major,2,1798-1800
quartet02-2.mid,Beethoven,Adagio,Op.18/2,G major,2,1798-1800
quartet06-4a.mid,Beethoven,Adagio,Op.18/6,Bb major,4a,1798-1800
quartet07-3.mid,Beethoven,Adagio,Op.59/1,F major,3,1806
quartet08-2.mid,Beethoven,Adagio,Op.59/2,E minor,2,1806
quartet10-2.mid,Beethoven,Adagio,Op.74,Eb major,2,1809
quartet15-3.mid,Beethoven,Adagio,Op.132,A minor,3,1823-1825
k080-01.mid,Mozart,Adagio,No.1,G major,1,1770
k156-02.mid,Mozart,Adagio,No.3,G major,2,1772
k160-02.mid,Mozart,Adagio,No.7,Eb major,2,1773
k170-03.mid,Mozart,Adagio,No.10,C major,3,1773
k172-02.mid,Mozart,Adagio,No.12,Bb major,2,1773
k458-03.mid,Mozart,Adagio,No.17,Bb major,3,1784
k465-01.mid,Mozart,Adagio,No.19,C major,1,1785
k499-03.mid,Mozart,Adagio,No.20,D major,3,1786
k080-02.mid,Mozart,Allegro,No.1,G major,2,1770
k155-01.mid,Mozart,Allegro,No.2,D major,1,1772
k157-01.mid,Mozart,Allegro,No.4,C major,1,1772-1773
k158-01.mid,Mozart,Allegro,No.5,F major,1,1772-1773
k168-01.mid,Mozart,Allegro,No.8,F major,1,1773
k168-04.mid,Mozart,Allegro,No.8,F major,4,1773
k421-01.mid,Mozart,Allegro,No.15,D minor,1,1783
k499-04.mid,Mozart,Allegro,No.20,D major,4,1786
k589-01.mid,Mozart,Allegro,No.22,Bb major,1,1790
k590-04.mid,Mozart,Allegro,No.23,F major,4,1790
k155-02.mid,Mozart,Andante,No.2,D major,2,1772
k157-02.mid,Mozart,Andante,No.4,C major,2,1772-1773
k159-01.mid,Mozart,Andante,No.6,Bb major,1,1773
k168-02.mid,Mozart,Andante,No.8,F major,2,1773
k171-03.mid,Mozart,Andante,No.11,Eb major,3,1773
k421-02.mid,Mozart,Andante,No.15,D minor,2,1783
k464-03.mid,Mozart,Andante,No.18,A major,3,1785
k575-02.mid,Mozart,Andante,No.21,D major,2,1789
k590-02.mid,Mozart,Andante,No.23,F major,2,1790
k080-03.mid,Mozart,Minuet,No.1,G major,3,1770
k158-03.mid,Mozart,Minuet,No.5,F major,3,1772-1773
k168-03.mid,Mozart,Minuet,No.8,F major,3,1773
k169-03.mid,Mozart,Minuet,No.9,A major,3,1773
k170-02.mid,Mozart,Minuet,No.10,C major,2,1773
k171-02.mid,Mozart,Minuet,No.11,Eb major,2,1773
k173-03.mid,Mozart,Minuet,No.13,D minor,3,1773
k387-02.mid,Mozart,Minuet,No.14,G major,2,1782
k428-03.mid,Mozart,Minuet,No.16,Eb major,3,1783
k464-02.mid,Mozart,Minuet,No.18,A major,2,1785
k465-03.mid,Mozart,Minuet,No.19,C major,3,1785
k590-03.mid,Mozart,Minuet,No.23,F major,3,1790
op01n0-03.mid,Haydn,Adagio,Op.01/0,Eb major,3,
op01n1-03.mid,Haydn,Adagio,Op.01/1,Bb major,3,
op01n2-03.mid,Haydn,Adagio,Op.01/2,Eb major,3,
op01n3-01.mid,Haydn,Adagio,Op.01/3,D major,1,
op01n4-03.mid,Haydn,Adagio,Op.01/4,G major,3,
op09n2-03.mid,Haydn,Adagio,Op.09/2,Eb major,3,1769
op17n1-03.mid,Haydn,Adagio,Op.17/1,E major,3,1771
op17n2-03.mid,Haydn,Adagio,Op.17/2,F major,3,1771
op17n3-03.mid,Haydn,Adagio,Op.17/3,Eb major,3,1771
op17n5-03.mid,Haydn,Adagio,Op.17/5,G major,3,1771
op20n5-03.mid,Haydn,Adagio,Op.20/5,F minor,3,1772
op20n6-02.mid,Haydn,Adagio,Op.20/6,A major,2,1772
