filename,composer,genre,opus,key,movement,date
op17n2-02.mid,Haydn,Menuetto,Op.17/2,F major,2,1771
op20n1-02.mid,Haydn,Menuetto,Op.20/1,Eb major,2,1772
op33n3-02.mid,Haydn,Scherzando,Op.33/3,C major,2,1781
op50n3-03.mid,Haydn,Menuetto,Op.50/3,Eb major,3,1787
op64n1-02.mid,Haydn,Menuetto,Op.64/1,C major,2,1790
op71n1-03.mid,Haydn,Menuetto,Op.71/1,Bb major,3,1793
op77n1-03.mid,Haydn,Menuetto,Op.77/1,G major,3,1799
k158-03.mid,Mozart,Tempo di Minuetto,No.5,F major,3,1773
k168-03.mid,Mozart,Menuetto,No.8,F major,3,1773
k173-03.mid,Mozart,Menuetto,No.13,D minor,3,1773
k387-02.mid,Mozart,Menuetto,No.14,G major,2,1782
k465-03.mid,Mozart,Menuetto,No.19,C major,3,1785
k590-03.mid,Mozart,Menuetto-Allegretto,No.23,F major,3,1790
quartet01-3.mid,Beethoven,Scherzo: Allegro molto,Op.18/1,F major,3,1798
quartet04-3.mid,Beethoven,Menuetto: Allegretto,Op.18/4,C major,3,1798
quartet06-3.mid,Beethoven,Scherzo: Allegro,Op.18/6,Bb major,3,1798
quartet09-3.mid,Beethoven,Menuetto: Grazioso,Op.59/3,C major,3,1805
quartet12-3.mid,Beethoven,Scherzando vivace - Presto,Op.127,Eb major,3,1825
